Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
Afghanistan,AFG,1990,,2024326.1,
Afghanistan,AFG,1991,,1914301,
Afghanistan,AFG,1992,,1482054,
Afghanistan,AFG,1993,,1486943,
Afghanistan,AFG,1994,,1453829,
Afghanistan,AFG,1995,,1417327,
Afghanistan,AFG,1996,,1370104,
Afghanistan,AFG,1997,,1304152,
Afghanistan,AFG,1998,,1278504,
Afghanistan,AFG,1999,,1091640,
Afghanistan,AFG,2000,,1047127.94,
Afghanistan,AFG,2001,,1069098,
Afghanistan,AFG,2002,26890054000,1340995,
Afghanistan,AFG,2003,29265058000,1559602,
Afghanistan,AFG,2004,29678901000,1237247,
Afghanistan,AFG,2005,33011757000,1889507,
Afghanistan,AFG,2006,34780330000,2159318,
Afghanistan,AFG,2007,39589170000,2799909,
Afghanistan,AFG,2008,41143038000,4254477,
Afghanistan,AFG,2009,49943753000,6391888,
Afghanistan,AFG,2010,57116893000,8364803.5,
Afghanistan,AFG,2011,57360413000,11838316,
Afghanistan,AFG,2012,64675180000,10035314,
Afghanistan,AFG,2013,68297470000,9250510,
Afghanistan,AFG,2014,70158260000,9170309,
Afghanistan,AFG,2015,71176480000,9791093,
Afghanistan,AFG,2016,72785300000,9067598,
Afghanistan,AFG,2017,74711925000,9867969,
Afghanistan,AFG,2018,75600420000,10818048,
Afghanistan,AFG,2019,78557610000,11081621,
Afghanistan,AFG,2020,76710640000,11888066,
Afghanistan,AFG,2021,60803043000,12283148,
Afghanistan,AFG,2022,,12147948,
Africa,,1990,,658281400,582724000
Africa,,1991,,687829100,607349570
Africa,,1992,,666901500,620511040
Africa,,1993,,706661500,643518400
Africa,,1994,,790281400,716321300
Africa,,1995,,844556600,751732800
Africa,,1996,,872320830,751774300
Africa,,1997,,893989200,772032100
Africa,,1998,,912442100,819201700
Africa,,1999,,899677440,785348900
Africa,,2000,,930042600,732651400
Africa,,2001,,919542850,747663400
Africa,,2002,,899274200,739299200
Africa,,2003,,988565440,818479170
Africa,,2004,,1044866750,863252900
Africa,,2005,,1063180000,881782100
Africa,,2006,,1092165900,936535200
Africa,,2007,,1122721400,972655500
Africa,,2008,,1175619600,1023598900
Africa,,2009,,1173163400,1067699500
Africa,,2010,,1215373700,1096000800
Africa,,2011,,1255083900,1157889800
Africa,,2012,,1255851500,1191864700
Africa,,2013,,1265469700,1239068300
Africa,,2014,,1344915500,1325497900
Africa,,2015,,1319787300,1333181600
Africa,,2016,,1355493500,1346778800
Africa,,2017,,1369709700,1312865000
Africa,,2018,,1357075100,1307989200
Africa,,2019,,1457568100,1387171800
Africa,,2020,,1356435700,1318878600
Africa,,2021,,1435214100,1389118100
Africa,,2022,,1416626600,
Africa (GCP),,1990,,658274100,582724000
Africa (GCP),,1991,,687821800,607349570
Africa (GCP),,1992,,666894140,620511040
Africa (GCP),,1993,,706650500,643518400
Africa (GCP),,1994,,790270400,716321300
Africa (GCP),,1995,,844545600,751732800
Africa (GCP),,1996,,872309900,751774300
Africa (GCP),,1997,,893978200,772032100
Africa (GCP),,1998,,912431170,819201700
Africa (GCP),,1999,,899666500,785348900
Africa (GCP),,2000,,930031600,732651400
Africa (GCP),,2001,,919531900,747663400
Africa (GCP),,2002,,899263200,739299200
Africa (GCP),,2003,,988554430,818479170
Africa (GCP),,2004,,1044855700,863252900
Africa (GCP),,2005,,1063169100,881782100
Africa (GCP),,2006,,1092154900,936535200
Africa (GCP),,2007,,1122710400,972655500
Africa (GCP),,2008,,1175608600,1023598900
Africa (GCP),,2009,,1173152500,1067699500
Africa (GCP),,2010,,1215362700,1096000800
Africa (GCP),,2011,,1255072900,1157889800
Africa (GCP),,2012,,1255840500,1191864700
Africa (GCP),,2013,,1265458700,1239068300
Africa (GCP),,2014,,1344904400,1325497900
Africa (GCP),,2015,,1319776300,1333181600
Africa (GCP),,2016,,1355478800,1346778800
Africa (GCP),,2017,,1369698800,1312865000
Africa (GCP),,2018,,1357064100,1307989200
Africa (GCP),,2019,,1457553400,1387171800
Africa (GCP),,2020,,1356417400,1318878600
Africa (GCP),,2021,,1435196400,1389118100
Africa (GCP),,2022,,1416608800,
Albania,ALB,1990,15867113000,5520602,5556261
Albania,ALB,1991,11423983000,4290226,4613804.5
Albania,ALB,1992,10602928000,2517116,2915823.5
Albania,ALB,1993,11616506000,2337999,2672828.8
Albania,ALB,1994,12581008000,1923806,2372482.2
Albania,ALB,1995,14257093000,2089065.1,2546276.5
Albania,ALB,1996,15554487000,2017508,3026079.2
Albania,ALB,1997,13855940000,1543009,2219945
Albania,ALB,1998,15079340000,1754709,2536021.8
Albania,ALB,1999,17023188000,2986196,3782500.5
Albania,ALB,2000,18205655000,3024926,4075235
Albania,ALB,2001,19715508000,3220656,4485296.5
Albania,ALB,2002,20609907000,3748272,5103118.5
Albania,ALB,2003,21749352000,4303499,5906305
Albania,ALB,2004,22948758000,4176684,5482477
Albania,ALB,2005,24217004000,4261413,5769211
Albania,ALB,2006,25646450000,3910715,5683099
Albania,ALB,2007,27180943000,3948970,5955982
Albania,ALB,2008,29219527000,4397043,6542396.5
Albania,ALB,2009,30199634000,4406552,6914594.5
Albania,ALB,2010,31319116000,4783865,6614409
Albania,ALB,2011,32116314000,5314676,7145087
Albania,ALB,2012,32571480000,4850060,6844484
Albania,ALB,2013,32897851000,5287465,6577429
Albania,ALB,2014,33481607000,5999650,6512503
Albania,ALB,2015,34224472000,4712144,5913016.5
Albania,ALB,2016,35359007000,4631979,5822477.5
Albania,ALB,2017,36703437000,5293048,5940313
Albania,ALB,2018,38178680000,4894953,5944046.5
Albania,ALB,2019,38975877000,4826944,5832359
Albania,ALB,2020,37618880000,5018921,6021403
Albania,ALB,2021,40822317000,4903652,5957934.5
Albania,ALB,2022,,4954730,
Algeria,DZA,1990,2.25296E+11,76737624,
Algeria,DZA,1991,2.22592E+11,78806830,
Algeria,DZA,1992,2.26599E+11,79883310,
Algeria,DZA,1993,2.2184E+11,81943970,
Algeria,DZA,1994,2.19844E+11,88608390,
Algeria,DZA,1995,2.28198E+11,96776920,
Algeria,DZA,1996,2.37554E+11,100039430,
Algeria,DZA,1997,2.40167E+11,88369416,
Algeria,DZA,1998,2.52416E+11,106536560,
Algeria,DZA,1999,2.60493E+11,91449100,
Algeria,DZA,2000,2.70392E+11,85398600,
Algeria,DZA,2001,2.78503E+11,86839250,
Algeria,DZA,2002,2.941E+11,90692380,
Algeria,DZA,2003,3.15275E+11,94580616,
Algeria,DZA,2004,3.28832E+11,91714220,
Algeria,DZA,2005,3.48233E+11,110992510,
Algeria,DZA,2006,3.54153E+11,105896180,
Algeria,DZA,2007,3.66194E+11,109889440,
Algeria,DZA,2008,3.74982E+11,111087410,
Algeria,DZA,2009,3.80982E+11,118856330,
Algeria,DZA,2010,3.94698E+11,118353256,
Algeria,DZA,2011,4.06144E+11,125094570,
Algeria,DZA,2012,4.19953E+11,135674290,
Algeria,DZA,2013,4.31711E+11,140786380,
Algeria,DZA,2014,4.48116E+11,151282780,
Algeria,DZA,2015,4.64697E+11,160087460,
Algeria,DZA,2016,4.79567E+11,158481630,
Algeria,DZA,2017,4.85801E+11,165089600,
Algeria,DZA,2018,4.91631E+11,171276020,
Algeria,DZA,2019,4.96547E+11,178577220,
Algeria,DZA,2020,4.71223E+11,169892770,
Algeria,DZA,2021,4.87716E+11,180225200,
Algeria,DZA,2022,,176345140,
Andorra,AND,1990,,406704,
Andorra,AND,1991,,406704,
Andorra,AND,1992,,406704,
Andorra,AND,1993,,410368,
Andorra,AND,1994,,406704,
Andorra,AND,1995,,425024,
Andorra,AND,1996,,454336,
Andorra,AND,1997,,465328,
Andorra,AND,1998,,490976,
Andorra,AND,1999,,512960.03,
Andorra,AND,2000,,523952,
Andorra,AND,2001,,523952,
Andorra,AND,2002,,531280,
Andorra,AND,2003,,534944,
Andorra,AND,2004,,560592,
Andorra,AND,2005,,575248,
Andorra,AND,2006,,545936,
Andorra,AND,2007,,538608,
Andorra,AND,2008,,538608,
Andorra,AND,2009,,516623.97,
Andorra,AND,2010,,516623.97,
Andorra,AND,2011,,490976,
Andorra,AND,2012,,487312,
Andorra,AND,2013,,476320,
Andorra,AND,2014,,461664,
Andorra,AND,2015,,465328,
Andorra,AND,2016,,468992,
Andorra,AND,2017,,465328,
Andorra,AND,2018,,494640,
Andorra,AND,2019,,483648,
Andorra,AND,2020,,373728,
Andorra,AND,2021,,363046,
Andorra,AND,2022,,368645,
Angola,AGO,1990,68234265000,5089864,
Angola,AGO,1991,68910710000,5064054,
Angola,AGO,1992,64887510000,5164449,
Angola,AGO,1993,49325265000,5748389,
Angola,AGO,1994,49985913000,11353248,
Angola,AGO,1995,57483796000,12616650,
Angola,AGO,1996,65269617000,15248957,
Angola,AGO,1997,70017510000,15884249,
Angola,AGO,1998,73302130000,16513294,
Angola,AGO,1999,74901210000,17261278,
Angola,AGO,2000,77189160000,15995108,
Angola,AGO,2001,80435740000,15908461,
Angola,AGO,2002,91427830000,16080002,
Angola,AGO,2003,94161530000,17484428,
Angola,AGO,2004,1.04472E+11,17015688,
Angola,AGO,2005,1.20174E+11,15386819,
Angola,AGO,2006,1.34055E+11,17144838,
Angola,AGO,2007,1.52836E+11,17587936,
Angola,AGO,2008,1.69907E+11,18750156,
Angola,AGO,2009,1.71369E+11,20668332,
Angola,AGO,2010,1.79697E+11,22983320,
Angola,AGO,2011,1.85933E+11,23397032,
Angola,AGO,2012,2.01811E+11,25940960,
Angola,AGO,2013,2.11801E+11,25709742,
