condition,interval_CI,text_extra,wtp_final
2: CI with extra info,1,1,0
4: PI with extra info,0,1,50
1: CI with viz stats only,1,0,50
1: CI with viz stats only,1,0,86
4: PI with extra info,0,1,50
1: CI with viz stats only,1,0,200
2: CI with extra info,1,1,100
1: CI with viz stats only,1,0,125
4: PI with extra info,0,1,25
4: PI with extra info,0,1,0
3: PI with viz stats only,0,0,25
2: CI with extra info,1,1,50
4: PI with extra info,0,1,50
1: CI with viz stats only,1,0,100
3: PI with viz stats only,0,0,50
4: PI with extra info,0,1,0
4: PI with extra info,0,1,10
2: CI with extra info,1,1,50
4: PI with extra info,0,1,50
1: CI with viz stats only,1,0,0
1: CI with viz stats only,1,0,135
2: CI with extra info,1,1,50
3: PI with viz stats only,0,0,50
1: CI with viz stats only,1,0,100
2: CI with extra info,1,1,75
3: PI with viz stats only,0,0,95
3: PI with viz stats only,0,0,0
1: CI with viz stats only,1,0,15
1: CI with viz stats only,1,0,100
2: CI with extra info,1,1,25
2: CI with extra info,1,1,50
4: PI with extra info,0,1,26
2: CI with extra info,1,1,17
1: CI with viz stats only,1,0,100
3: PI with viz stats only,0,0,0
1: CI with viz stats only,1,0,50
3: PI with viz stats only,0,0,50
1: CI with viz stats only,1,0,200
4: PI with extra info,0,1,57
4: PI with extra info,0,1,10
2: CI with extra info,1,1,25
1: CI with viz stats only,1,0,50
3: PI with viz stats only,0,0,100
3: PI with viz stats only,0,0,230
2: CI with extra info,1,1,30
3: PI with viz stats only,0,0,20
2: CI with extra info,1,1,50
4: PI with extra info,0,1,125
4: PI with extra info,0,1,50
3: PI with viz stats only,0,0,102
2: CI with extra info,1,1,50
2: CI with extra info,1,1,10
4: PI with extra info,0,1,20
2: CI with extra info,1,1,70
3: PI with viz stats only,0,0,10
4: PI with extra info,0,1,50
2: CI with extra info,1,1,145
4: PI with extra info,0,1,0
2: CI with extra info,1,1,50
2: CI with extra info,1,1,150
3: PI with viz stats only,0,0,1
2: CI with extra info,1,1,50
3: PI with viz stats only,0,0,10
3: PI with viz stats only,0,0,60
4: PI with extra info,0,1,0
4: PI with extra info,0,1,25
2: CI with extra info,1,1,0
2: CI with extra info,1,1,100
3: PI with viz stats only,0,0,0
3: PI with viz stats only,0,0,200
4: PI with extra info,0,1,50
1: CI with viz stats only,1,0,50
1: CI with viz stats only,1,0,200
1: CI with viz stats only,1,0,50
4: PI with extra info,0,1,54
3: PI with viz stats only,0,0,0
3: PI with viz stats only,0,0,0
3: PI with viz stats only,0,0,25
2: CI with extra info,1,1,30
4: PI with extra info,0,1,25
2: CI with extra info,1,1,0
3: PI with viz stats only,0,0,50
3: PI with viz stats only,0,0,182
1: CI with viz stats only,1,0,0
3: PI with viz stats only,0,0,249
1: CI with viz stats only,1,0,50
4: PI with extra info,0,1,0
2: CI with extra info,1,1,100
1: CI with viz stats only,1,0,0
1: CI with viz stats only,1,0,55
3: PI with viz stats only,0,0,99
2: CI with extra info,1,1,50
2: CI with extra info,1,1,150
2: CI with extra info,1,1,50
1: CI with viz stats only,1,0,50
2: CI with extra info,1,1,240
4: PI with extra info,0,1,8
3: PI with viz stats only,0,0,51
1: CI with viz stats only,1,0,100
2: CI with extra info,1,1,100
2: CI with extra info,1,1,200
2: CI with extra info,1,1,25
3: PI with viz stats only,0,0,0
2: CI with extra info,1,1,100
2: CI with extra info,1,1,30
4: PI with extra info,0,1,100
4: PI with extra info,0,1,68
2: CI with extra info,1,1,100
