island,species,sex,body_mass_g,bill_length_mm,bill_depth_mm,flipper_length_mm
Biscoe,Adelie,female,3176.805304340211,37.241092988699066,14.64289126279998,186.71904032806734
Biscoe,Adelie,female,3290.298025972846,40.76132098134084,19.219851791210832,181.33361698054006
Biscoe,Adelie,female,3904.6830106275274,39.61019419308643,17.940055059080912,192.21387906658268
Biscoe,Adelie,female,3393.5649691839503,39.739271262833924,18.225548772559176,183.60334801581664
Biscoe,Adelie,female,3413.771831781404,38.97182944375399,17.893961637979423,181.68797967804568
Biscoe,Adelie,female,3958.4756962108672,39.03560319107757,18.637819234587546,181.78820953712832
Biscoe,Adelie,female,3527.630889524015,36.705480060941646,19.101651827760985,188.17570168341334
Biscoe,Adelie,female,2934.805734187317,35.429159164474456,16.81807372690761,183.89473190306856
Biscoe,Adelie,female,3133.3183372854032,38.45286806888236,15.351629133723224,195.94155117457083
Biscoe,Adelie,female,3216.2498317971585,39.025219934053496,17.813574920150913,185.35290470067957
Biscoe,Adelie,female,3789.7243322654,39.337323365932505,18.30507646344832,194.17273898614346
Biscoe,Adelie,female,3492.8565024614636,38.13919442973886,16.270007405631397,194.12149891995352
Biscoe,Adelie,female,3506.9634230888396,37.881991487362725,16.9578249970341,189.38564187602805
Biscoe,Adelie,female,3407.3834207788486,36.530532973743775,19.572667228701334,181.3251297127704
Biscoe,Adelie,female,3178.303417795192,37.65891848192474,16.79770079818967,197.82579785319447
Biscoe,Adelie,female,3983.0489081506694,41.365202535388335,16.87901831524646,194.8327960692377
Biscoe,Adelie,female,3540.3229533856775,37.69601545615446,16.547324661974212,187.81771924156521
Biscoe,Adelie,female,2693.8002504269634,34.87945494393661,16.18133552409186,187.06053807171514
Biscoe,Adelie,female,3610.232579234861,35.466733620713036,17.237076364274035,187.04938084563142
Biscoe,Adelie,female,3206.946052468896,38.62677705680787,18.874964250821378,183.39834480736098
Biscoe,Adelie,female,3002.5488547459,39.89430974346618,17.134535584256597,184.40848605543692
Biscoe,Adelie,female,3294.328734209889,32.7453695869539,17.701773506732497,201.64152860063993
Biscoe,Adelie,female,3017.0432953135355,37.666801268392376,18.40764144311998,168.55680097934456
Biscoe,Adelie,female,3118.956340021049,37.435518164207735,16.45775514419203,186.35171024785816
Biscoe,Adelie,female,3154.6669436227394,36.50773702758699,18.69699973167593,181.46218736164232
Biscoe,Adelie,female,2790.0004661320327,39.92705001529272,17.007161555633314,180.7876271617654
Biscoe,Adelie,female,3657.1243715508817,38.896149778787226,17.938917984763325,183.26936698468734
Biscoe,Adelie,female,3422.036350241925,40.15820076582005,18.065584373782535,182.64731301044992
Biscoe,Adelie,female,2978.392711201345,38.455247347296186,15.483475147093474,185.20871035254882
Biscoe,Adelie,female,3799.984476073776,37.3480126598903,19.283448164589508,188.43494853526028
Biscoe,Adelie,female,3515.7480814892383,39.77218219526373,17.17526908216987,194.1930460730902
Biscoe,Adelie,female,3268.0131834513936,36.34605432856177,17.831333885402085,181.08569714445008
Biscoe,Adelie,female,3676.7445934139464,36.954269066071866,18.16894249079402,192.53124917596745
Biscoe,Adelie,female,3671.051557878078,39.33739653398318,18.283230065375033,174.8571297600891
Biscoe,Adelie,female,3651.4235912954487,36.90313820776238,18.596547620910115,199.64698418984804
