graph_type,effect_size,wtp_final,superiority_special
HOPS,Large effect size,50,0.75
CI,Small effect size,0,0.9
HOPS,Large effect size,25,0.73
PI,Large effect size,50,0.75
CI,Large effect size,50,1
CI,Large effect size,50,0.75
HOPS,Large effect size,50,0.75
HOPS,Small effect size,25,0.62
HOPS,Large effect size,150,0.9
CI,Large effect size,11,0.5
HOPS,Small effect size,50,0.65
CI,Small effect size,0,1
CI,Large effect size,50,1
HOPS,Large effect size,20,0.8
CI rescaled,Large effect size,30,1
PI,Small effect size,100,0.7
PI,Small effect size,100,0.95
CI rescaled,Large effect size,50,0.7
CI rescaled,Large effect size,50,0.9
PI,Small effect size,200,0.75
CI,Large effect size,200,0.8
HOPS,Small effect size,99,0.75
HOPS,Small effect size,50,0.65
HOPS,Large effect size,85,0.7
HOPS,Large effect size,100,0.75
CI,Small effect size,249,0.99
CI rescaled,Small effect size,50,0.85
CI,Large effect size,50,1
PI,Small effect size,50,0.7
CI rescaled,Small effect size,125,0.9
PI,Large effect size,60,0.75
PI,Small effect size,20,0.6
CI,Large effect size,126,0.75
HOPS,Small effect size,100,0.5
CI rescaled,Large effect size,30,0.75
CI,Small effect size,50,1
CI rescaled,Small effect size,50,0.6
CI,Small effect size,75,0.9
PI,Small effect size,25,0.52
PI,Large effect size,20,0.58
HOPS,Small effect size,10,0.6
HOPS,Small effect size,25,0.55
HOPS,Large effect size,50,0.75
CI rescaled,Large effect size,25,0.95
PI,Small effect size,50,0.6
HOPS,Small effect size,50,0.54
HOPS,Large effect size,25,0.9
CI,Large effect size,40,0.95
CI,Large effect size,40,0.65
CI rescaled,Small effect size,100,0.7
CI,Large effect size,200,1
PI,Large effect size,50,0.9
CI rescaled,Large effect size,33,0.6
HOPS,Large effect size,50,0.75
CI rescaled,Large effect size,50,1
CI rescaled,Small effect size,71,0.6
PI,Large effect size,78,0.7
PI,Large effect size,75,0.7
CI rescaled,Large effect size,81,1
CI rescaled,Small effect size,100,0.9
PI,Large effect size,62,0.75
CI,Large effect size,125,0.99
HOPS,Large effect size,25,0.98
CI,Large effect size,50,1
CI,Small effect size,124,0.79
PI,Large effect size,100,0.8
CI rescaled,Small effect size,100,1
CI,Small effect size,200,0.95
HOPS,Small effect size,21,0.65
HOPS,Small effect size,25,0.6
CI rescaled,Large effect size,20,1
PI,Large effect size,25,0.7
HOPS,Small effect size,10,0.52
CI,Large effect size,123,0.8
